x,y,fault_throw_m,lon,lat
665514.47635001,5072450.26430742,10.468082161221112,11.129347471186776,45.78576860613186
665714.47635001,5072450.26430742,11.460026240805439,11.131918677523277,45.785720638110675
665914.47635001,5072450.26430742,23.516443477769126,11.134489877351,45.78567261226802
666114.47635001,5072450.26430742,29.440039036087196,11.137061070662117,45.78562452860431
666314.47635001,5072450.26430742,29.444112184015797,11.139632257448813,45.78557638711991
666514.47635001,5072450.26430742,29.449134425653856,11.142203437703262,45.785528187815196
666714.47635001,5072450.26430742,29.455338762883752,11.144774611417649,45.78547993069057
666914.47635001,5072450.26430742,29.46299275783487,11.147345778584151,45.785431615746404
667114.47635001,5072450.26430742,29.472371223599858,11.14991693919495,45.7853832429831
667314.47635001,5072450.26430742,29.48368722280876,11.152488093242223,45.78533481240101
667514.47635001,5072450.26430742,29.496953348459375,11.155059240718153,45.78528632400055
667714.47635001,5072450.26430742,34.13530587658965,11.157630381614918,45.78523777778211
667914.47635001,5072450.26430742,36.38414838056474,11.160201515924703,45.78518917374606
668114.47635001,5072450.26430742,36.93010160874987,11.162772643639684,45.78514051189279
665514.47635001,5072650.26430742,10.673784569707253,11.129415995238192,45.7875674975118
665714.47635001,5072650.26430742,9.104066347054696,11.131987284165394,45.787519526497555
665914.47635001,5072650.26430742,8.210078109764073,11.134558566583047,45.78747149765823
666114.47635001,5072650.26430742,23.49436575931526,11.137129842483338,45.78742341099424
666314.47635001,5072650.26430742,29.43991266003982,11.139701111858441,45.78737526650597
666514.47635001,5072650.26430742,29.44474052559956,11.142272374700536,45.78732706419378
666714.47635001,5072650.26430742,29.45090557832414,11.1448436310018,45.78727880405808
666914.47635001,5072650.26430742,29.45881336833813,11.147414880754415,45.78723048609923
667114.47635001,5072650.26430742,29.46895893997984,11.149986123950557,45.78718211031764
667314.47635001,5072650.26430742,29.481879400307598,11.152557360582406,45.78713367671368
667514.47635001,5072650.26430742,29.497995894732025,11.155128590642143,45.78708518528773
667714.47635001,5072650.26430742,29.517247174029894,11.157699814121946,45.7870366360402
667914.47635001,5072650.26430742,34.14347781660167,11.160271031013997,45.78698802897146
668114.47635001,5072650.26430742,36.85561561745335,11.162842241310472,45.786939364081896
668314.47635001,5072650.26430742,39.12553982770382,11.165413445003553,45.7868906413719
665314.47635001,5072850.26430742,9.539099902493273,11.126913147763133,45.78941430442145
665514.47635001,5072850.26430742,9.541981214887429,11.129484525791334,45.78936638824298
665714.47635001,5072850.26430742,11.41623333119208,11.13205589731705,45.78931841423547
665914.47635001,5072850.26430742,8.212981891937707,11.134627262332463,45.78927038239931
666114.47635001,5072850.26430742,8.218049170256208,11.137198620829746,45.78922229273486
666314.47635001,5072850.26430742,21.128187042224305,11.139769972801076,45.78917414524251
666514.47635001,5072850.26430742,29.4390260784604,11.142341318238635,45.789125939922656
666714.47635001,5072850.26430742,29.444747433559705,11.1449126571346,45.78907767677569
666914.47635001,5072850.26430742,29.45240850336565,11.147483989481145,45.78902935580197
667114.47635001,5072850.26430742,29.462761771282228,11.150055315270455,45.788980977001906
667314.47635001,5072850.26430742,29.476808841354305,11.152626634494702,45.78893254037586
667514.47635001,5072850.26430742,29.495729896641755,11.155197947146068,45.788884045924235
667714.47635001,5072850.26430742,29.52047386070828,11.15776925321673,45.78883549364742
667914.47635001,5072850.26430742,31.826421053552576,11.160340552698866,45.78878688354578
668114.47635001,5072850.26430742,36.31571024703251,11.162911845584656,45.78873821561973
668314.47635001,5072850.26430742,39.060469123480814,11.16548313186628,45.78868948986964
668514.47635001,5072850.26430742,44.48018212947528,11.168054411535914,45.788640706295915
668714.47635001,5072850.26430742,48.49168710613206,11.170625684585742,45.788591864898926
665114.47635001,5073050.26430742,8.449115115714454,11.124410135080934,45.791261058829
665314.47635001,5073050.26430742,9.537481087528619,11.126981602211655,45.79121319749372
665514.47635001,5073050.26430742,9.54070286825842,11.12955306284696,45.79116527832542
665714.47635001,5073050.26430742,9.544346427837352,11.132124516979015,45.79111730132445
665914.47635001,5073050.26430742,9.107291567586442,11.134695964600006,45.791069266491235
666114.47635001,5073050.26430742,8.221924140486419,11.137267405702104,45.791021173826124
666314.47635001,5073050.26430742,8.228250353543407,11.139838840277486,45.790973023329535
