x,y,abs_delta_z,abs_delta_norm,lon,lat
665515.49791206,5072452.45725208,13.181758363261222,0.29709538222882714,11.129361355754016,45.7857880856168
665715.49791206,5072452.45725208,13.181195815609813,0.297125379542615,11.131932562962836,45.785740117267444
665915.49791206,5072452.45725208,13.180580757661518,0.2971581769176044,11.134503763662824,45.785692091096614
666115.49791206,5072452.45725208,13.17991731806347,0.29719355419764826,11.137074957846163,45.785644007104665
666315.49791206,5072452.45725208,13.179213377358206,0.2972310911603765,11.13964614550503,45.78559586529199
666515.49791206,5072452.45725208,13.178481158535211,0.2972701360266019,11.1422173266316,45.785547665658974
666715.49791206,5072452.45725208,3.6721381854490857e-10,0.9999999999910095,11.144788501218063,45.78549940820599
666915.49791206,5072452.45725208,2.023220246153444e-10,0.9999999999998023,11.14735966925659,45.78545109293344
667115.49791206,5072452.45725208,2.0229507190350043e-10,0.9999999999998037,11.149930830739367,45.78540271984171
667315.49791206,5072452.45725208,2.881661330481511e-10,0.9999999999952247,11.152501985658569,45.78535428893117
667515.49791206,5072452.45725208,2.882003379701581e-10,0.9999999999952228,11.15507313400638,45.78530580020222
667715.49791206,5072452.45725208,4.3641105610871065e-10,0.9999999999873197,11.15764427577498,45.78525725365523
667915.49791206,5072452.45725208,5.624710235255853e-10,0.9999999999805976,11.160215410956544,45.78520864929061
665515.49791206,5072652.45725208,13.18196263938317,0.2970844894006124,11.12942988029858,45.787586976974346
665715.49791206,5072652.45725208,13.181355224862374,0.2971168791971638,11.13200117009818,45.78753900563191
665915.49791206,5072652.45725208,13.180680635041508,0.2971528510521415,11.134572453388182,45.78749097646438
666115.49791206,5072652.45725208,13.179941641477361,0.297192257174939,11.137143730160775,45.787442889472146
666315.49791206,5072652.45725208,13.179145790339359,0.2972346951733117,11.13971500040813,45.787394744655565
666515.49791206,5072652.45725208,13.178306523467201,0.29727944827405395,11.142286264122427,45.78734654201505
666715.49791206,5072652.45725208,11.81307670720789,0.3700790183872936,11.14485752129585,45.78729828155098
666915.49791206,5072652.45725208,2.7489267656489424e-10,0.9999999999959325,11.147428771920572,45.78724996326374
667115.49791206,5072652.45725208,2.0230352634560753e-10,0.9999999999998032,11.150000015988772,45.7872015871537
667315.49791206,5072652.45725208,2.8815085822668414e-10,0.9999999999952255,11.152571253492633,45.787153153221254
667515.49791206,5072652.45725208,2.8819033955317273e-10,0.9999999999952234,11.155142484424333,45.7871046614668
667715.49791206,5072652.45725208,4.3639340073892755e-10,0.9999999999873206,11.157713708776052,45.7870561118907
667915.49791206,5072652.45725208,5.624640439714811e-10,0.999999999980598,11.160284926539967,45.78700750449337
668115.49791206,5072652.45725208,7.066700786420058e-10,0.9999999999729083,11.16285613770826,45.786958839275165
668315.49791206,5072652.45725208,2.2445993874805103e-09,0.9999999998908997,11.165427342273112,45.78691011623651
665315.49791206,5072852.45725208,0.04138296263528543,0.9977932932320093,11.126927032444186,45.789433784189775
665515.49791206,5072852.45725208,0.04138244222463538,0.9977933209824079,11.129498411344915,45.78938586768314
665715.49791206,5072852.45725208,13.1815822080439,0.29710477553678283,11.132069783743113,45.78933789334743
665915.49791206,5072852.45725208,13.180845498460833,0.29714405986848047,11.134641149630955,45.789289861183015
666115.49791206,5072852.45725208,13.18002356906469,0.29718788846494826,11.137212509000621,45.7892417711903
666315.49791206,5072852.45725208,13.179122454474214,0.2972359395359314,11.139783861844288,45.78919362336964
666515.49791206,5072852.45725208,13.178156080134817,0.2972874705204138,11.142355208154132,45.78914541772144
666715.49791206,5072852.45725208,13.177147819724599,0.2973412350394362,11.144926547922333,45.78909715424608
666915.49791206,5072852.45725208,3.5407969826126443e-10,0.9999999999917099,11.14749788114107,45.789048832943934
667115.49791206,5072852.45725208,2.023149838901367e-10,0.9999999999998026,11.150069207802519,45.7890004538154
667315.49791206,5072852.45725208,2.881315083049668e-10,0.9999999999952265,11.15264052789886,45.78895201686086
667515.49791206,5072852.45725208,2.88177510690532e-10,0.999999999995224,11.15521184142227,45.7889035220807
667715.49791206,5072852.45725208,4.3637150055333004e-10,0.9999999999873218,11.157783148364926,45.7888549694753
667915.49791206,5072852.45725208,5.624561925215069e-10,0.9999999999805984,11.160354448719012,45.78880635904506
668115.49791206,5072852.45725208,7.066887818679498e-10,0.9999999999729073,11.162925742476702,45.78875769079035
668315.49791206,5072852.45725208,2.2060102740818883e-09,0.9999999998929575,11.165497029630176,45.78870896471158
668515.49791206,5072852.45725208,2.559119002381869e-09,0.9999999998741282,11.168068310171614,45.78866018080912
668715.49791206,5072852.45725208,2.558969663772059e-09,0.9999999998741362,11.170639584093195,45.78861133908337
665115.49791206,5073052.45725208,0.041383140212394136,0.9977932837628803,11.12442401938249,45.791280538903095
665315.49791206,5073052.45725208,0.041382472634009355,0.9977933193608572,11.12699548738587,45.79123267723966
665515.49791206,5073052.45725208,0.04138188938499015,0.9977933504620516,11.129566948893782,45.79118475774318
665715.49791206,5073052.45725208,13.181894968719565,0.29708809787382406,11.1321384038984,45.79113678041399
665915.49791206,5073052.45725208,13.181096290240028,0.29713068663747144,11.134709852391904,45.79108874525252
666115.49791206,5073052.45725208,13.180185690791134,0.2971792434794297,11.137281294366467,45.79104065225913
666315.49791206,5073052.45725208,13.179165617877757,0.2972336378888497,11.139852729814267,45.79099250143419
666515.49791206,5073052.45725208,13.178048800784957,0.29729319108881846,11.142424158727481,45.790944292778114
666715.49791206,5073052.45725208,13.17686144534549,0.29735650567844674,11.144995581098286,45.79089602629127
666915.49791206,5073052.45725208,0.019902237228328748,0.9989387323051404,11.147566996918858,45.79084770197404
667115.49791206,5073052.45725208,2.0233065031977152e-10,0.9999999999998017,11.150138406181375,45.79079931982682
667315.49791206,5073052.45725208,2.022852643865846e-10,0.9999999999998042,11.152709808878017,45.79075087984999
667515.49791206,5073052.45725208,2.881607129474799e-10,0.9999999999952249,11.155281205000957,45.790702382043925
667715.49791206,5073052.45725208,4.3634375957799185e-10,0.9999999999873233,11.157852594542376,45.79065382640903
667915.49791206,5073052.45725208,5.624473355905705e-10,0.9999999999805989,11.160423977494451,45.790605212945685
668115.49791206,5073052.45725208,7.067152785306539e-10,0.9999999999729059,11.16299535384936,45.79055654165429
668315.49791206,5073052.45725208,2.294716936511815e-09,0.9999999998882273,11.165566723599278,45.7905078125352
668515.49791206,5073052.45725208,2.559058773517804e-09,0.9999999998741315,11.168138086736388,45.79045902558883
668715.49791206,5073052.45725208,2.5588864333778727e-09,0.9999999998741407,11.170709443252864,45.790410180815584
668915.49791206,5073052.45725208,2.5587408905201322e-09,0.9999999998741484,11.173280793140888,45.79036127821581
664915.49791206,5073252.45725208,0.04138351168516822,0.9977932639544511,11.121920841096319,45.79312724110369
665115.49791206,5073252.45725208,0.04138266174801103,0.9977933092765345,11.124492398203873,45.79307943429086
665315.49791206,5073252.45725208,0.04138189720294171,0.9977933500451669,11.127063948823022,45.79303156964098
665515.49791206,5073252.45725208,0.04138124001148431,0.9977933850892707,11.12963549294594,45.79298364715444
665715.49791206,5073252.45725208,9.68950245710724,0.4833165778587525,11.132207030564807,45.7929356668316
665915.49791206,5073252.45725208,13.181459796648602,0.2971113030069922,11.13477856167179,45.79288762867286
666115.49791206,5073252.45725208,13.180458592500049,0.2971646912576311,11.137350086259076,45.7928395326786
666315.49791206,5073252.45725208,13.179307324446986,0.2972260815220027,11.139921604318832,45.7927913788492
666515.49791206,5073252.45725208,13.17801412887911,0.29729503993493256,11.142493115843237,45.79274316718505
666715.49791206,5073252.45725208,13.176605949297386,0.29737012976008204,11.145064620824469,45.79269489768653
666915.49791206,5073252.45725208,13.17513342553341,0.29744865067701654,11.1476361192547,45.79264657035402
667115.49791206,5073252.45725208,2.7491251966768246e-10,0.9999999999959314,11.15020761112611,45.79259818518793
667315.49791206,5073252.45725208,2.022988756496669e-10,0.9999999999998035,11.152779096430875,45.792549742188605
667515.49791206,5073252.45725208,2.881381874837384e-10,0.9999999999952262,11.155350575161169,45.79250124135647
667715.49791206,5073252.45725208,4.3630772459047685e-10,0.9999999999873251,11.15792204730917,45.79245268269188
667915.49791206,5073252.45725208,5.624373417520035e-10,0.9999999999805994,11.160493512867058,45.792404066195246
668115.49791206,5073252.45725208,7.067535605604119e-10,0.9999999999729039,11.163064971827005,45.79235539186694
668315.49791206,5073252.45725208,2.559208135936959e-09,0.9999999998741236,11.16563642418119,45.79230665970737
668515.49791206,5073252.45725208,2.558975409487972e-09,0.9999999998741359,11.168207869921792,45.79225786971689
668715.49791206,5073252.45725208,2.5587758463113304e-09,0.9999999998741466,11.170779309040988,45.79220902189593
668915.49791206,5073252.45725208,2.55861389102725e-09,0.9999999998741552,11.173350741530953,45.79216011624485
669115.49791206,5073252.45725208,2.5584890386435303e-09,0.9999999998741619,11.175922167383867,45.79211115276406
664915.49791206,5073452.45725208,0.04138309068344556,0.997793286403964,11.121989143781759,45.7949261388261
665115.49791206,5073452.45725208,0.04138209660863369,0.9977933394120496,11.124560783513664,45.794878329030226
665315.49791206,5073452.45725208,0.04138121281264554,0.9977933865396228,11.127132416756405,45.794830461393715
665515.49791206,5073452.45725208,0.04138046826440415,0.9977934262419434,11.129704043502153,45.79478253591691
665715.49791206,5073452.45725208,0.06442590256133629,0.9965645505684788,11.13227566374309,45.79473455260023
665915.49791206,5073452.45725208,11.817543497780854,0.3698408310655512,11.134847277471383,45.79468651144404
666115.49791206,5073452.45725208,13.180883125824645,0.297142053425406,11.137418884679212,45.79463841244873
