x,y,fault_throw_m,lon,lat
665516.91589689,5072455.70902327,13.604999131789825,11.12938069952922,45.785816993648666
665716.91589689,5072455.70902327,13.95781573438455,11.13195190803469,45.7857690248407
665916.91589689,5072455.70902327,26.64910334415837,11.134523110031258,45.78572099821119
666116.91589689,5072455.70902327,35.08256147611529,11.137094305511111,45.785672913760514
666316.91589689,5072455.70902327,35.083696215665896,11.139665494466422,45.78562477148906
666516.91589689,5072455.70902327,35.08514668225691,11.142236676889373,45.7855765713972
666716.91589689,5072455.70902327,35.08700234855907,11.144807852772145,45.78552831348532
666916.91589689,5072455.70902327,35.08937191852331,11.147379022106914,45.78547999775384
667116.91589689,5072455.70902327,35.09237764236876,11.149950184885864,45.78543162420309
667316.91589689,5072455.70902327,35.09613575195259,11.152521341101172,45.78538319283349
667516.91589689,5072455.70902327,35.100711316716925,11.155092490745021,45.785334703645425
667716.91589689,5072455.70902327,38.09006889807309,11.157663633809591,45.78528615663927
667916.91589689,5072455.70902327,39.888512005667174,11.16023477028706,45.78523755181542
665516.91589689,5072655.70902327,14.755950929142697,11.129449224765056,45.78761588497446
665716.91589689,5072655.70902327,11.502479416896026,11.132020515861424,45.78756791317337
665916.91589689,5072655.70902327,10.262011972130452,11.134591800448131,45.78751988354714
666116.91589689,5072655.70902327,26.598177601778197,11.137163078517359,45.78747179609615
666316.91589689,5072655.70902327,35.081969656858995,11.139734350061282,45.78742365082078
666516.91589689,5072655.70902327,35.08327701934841,11.142305615072079,45.78737544772139
666716.91589689,5072655.70902327,35.08502164934085,11.144876873541932,45.78732718679839
666916.91589689,5072655.70902327,35.08735587593014,11.147448125463017,45.78727886805216
667116.91589689,5072655.70902327,35.09047651877094,11.150019370827515,45.78723049148309
667316.91589689,5072655.70902327,35.094617525954106,11.152590609627605,45.787182057091556
667516.91589689,5072655.70902327,35.10000644875263,11.155161841855465,45.78713356487796
667716.91589689,5072655.70902327,35.10674433471573,11.157733067503273,45.78708501484267
667916.91589689,5072655.70902327,38.0918363320113,11.160304286563214,45.78703640698607
668116.91589689,5072655.70902327,39.95974975746227,11.162875499027464,45.78698774130856
668316.91589689,5072655.70902327,42.039827563928945,11.165446704888202,45.78693901781053
665316.91589689,5072855.70902327,14.639536084715457,11.126946376305039,45.78946269261672
665516.91589689,5072855.70902327,14.642841660069017,11.129517756502729,45.78941477565149
665716.91589689,5072855.70902327,14.817294680033763,11.132089130197818,45.7893668008571
665916.91589689,5072855.70902327,10.26799210826279,11.134660497382487,45.789318768233976
666116.91589689,5072855.70902327,10.264526521563162,11.137231858048908,45.78927067778246
666316.91589689,5072855.70902327,23.223207970876626,11.139803212189266,45.78922252950297
666516.91589689,5072855.70902327,35.0809780808581,11.142374559795732,45.78917432339587
666716.91589689,5072855.70902327,35.08246110647814,11.144945900860487,45.78912605946155
666916.91589689,5072855.70902327,35.08456338065145,11.147517235375709,45.78907773770041
667116.91589689,5072855.70902327,35.08756015348311,11.150088563333576,45.78902935811282
667316.91589689,5072855.70902327,35.09183977334588,11.152659884726265,45.78898092069915
667516.91589689,5072855.70902327,35.097904131264876,11.155231199545957,45.78893242545982
667716.91589689,5072855.70902327,35.10626104377418,11.157802507784828,45.78888387239518
667916.91589689,5072855.70902327,36.64018449552106,11.160373809435058,45.78883526150567
668116.91589689,5072855.70902327,39.827268782234654,11.162945104488825,45.78878659279162
668316.91589689,5072855.70902327,41.795698174848916,11.165516392938311,45.788737866253435
668516.91589689,5072855.70902327,45.74208431458441,11.168087674775691,45.78868908189153
668716.91589689,5072855.70902327,48.3310863699999,11.170658949993145,45.78864023970628
665116.91589689,5073055.70902327,13.503724911553949,11.124443362637475,45.79130944775693
665316.91589689,5073055.70902327,14.63756155076428,11.127014831938007,45.791261585634906
665516.91589689,5073055.70902327,14.641250297273253,11.129586294743001,45.79121366567976
665716.91589689,5073055.70902327,14.64544540036121,11.132157751044636,45.79116568789189
665916.91589689,5073055.70902327,11.504537971901819,11.134729200835086,45.79111765227166
666116.91589689,5073055.70902327,10.271902997438819,11.137300644106528,45.79106955881945
666316.91589689,5073055.70902327,10.267163155913792,11.139872080851138,45.79102140753564
666516.91589689,5073055.70902327,20.307714017638638,11.142443511061096,45.790973198420645
666716.91589689,5073055.70902327,35.0792981004908,11.145014934728577,45.79092493147481
666916.91589689,5073055.70902327,35.08089937032771,11.147586351845755,45.79087660669856
667116.91589689,5073055.70902327,35.08338783169281,11.150157762404811,45.790828224092245
667316.91589689,5073055.70902327,35.08729419377972,11.152729166397926,45.79077978365626
667516.91589689,5073055.70902327,35.09347318754597,11.155300563817269,45.790731285391
667716.91589689,5073055.70902327,35.10318869950972,11.157871954655024,45.79068272929685
667916.91589689,5073055.70902327,35.11781400413223,11.160443338903367,45.79063411537418
668116.91589689,5073055.70902327,38.00689161081442,11.163014716554473,45.790585443623414
668316.91589689,5073055.70902327,41.68629124283491,11.165586087600524,45.79053671404491
668516.91589689,5073055.70902327,45.74629814150615,11.168157452033695,45.79048792663906
668716.91589689,5073055.70902327,49.83737135171052,11.170728809846167,45.79043908140627
668916.91589689,5073055.70902327,49.87957228020626,11.173300161030118,45.7903901783469
664916.91589689,5073255.70902327,17.69473586911323,11.121940183745197,45.79315615038437
665116.91589689,5073255.70902327,13.502999189730827,11.124511742150093,45.793108343112976
665316.91589689,5073255.70902327,13.50433875543583,11.127083294066512,45.79306047800448
665516.91589689,5073255.70902327,14.639149465338567,11.129654839486637,45.79301255505927
665716.91589689,5073255.70902327,14.643949200253031,11.132226378402637,45.7929645742777
665916.91589689,5073255.70902327,14.752994688907693,11.134797910806691,45.79291653566017
666116.91589689,5073255.70902327,10.280843402863445,11.137369436690976,45.79286843920707
666316.91589689,5073255.70902327,10.276459224314193,11.139940956047667,45.79282028491877
666516.91589689,5073255.70902327,10.269685331336891,11.142512468868937,45.79277207279568
666716.91589689,5073255.70902327,20.201842773373066,11.145083975146962,45.79272380283815
666916.91589689,5073255.70902327,35.076386015737135,11.147655474873924,45.79267547504657
667116.91589689,5073255.70902327,35.07785855181456,11.150226968041995,45.79262708942135
667316.91589689,5073255.70902327,35.080563043475564,11.152798454643353,45.792578645962855
667516.91589689,5073255.70902327,35.0855793225628,11.155369934670173,45.79253014467149
667716.91589689,5073255.70902327,35.095062102801876,11.157941408114631,45.792481585547606
667916.91589689,5073255.70902327,35.11305703369509,11.160512874968909,45.79243296859163
668116.91589689,5073255.70902327,35.29689741017962,11.163084335225177,45.79238429380394
668316.91589689,5073255.70902327,39.730630376809216,11.165655788875615,45.79233556118489
668516.91589689,5073255.70902327,45.768921186181935,11.168227235912402,45.792286770734925
668716.91589689,5073255.70902327,49.84538503326544,11.170798676327713,45.79223792245439
668916.91589689,5073255.70902327,49.91466518062833,11.173370110113728,45.79218901634369
