surface,move_length_m,gis_length_m,overlap_pct_A_to_B,overlap_pct_B_to_A,overlap_pct_mean,buffer_dist_m,n_move_segments_merged,n_gis_segments_merged
TOP_ARV_original,7936.620463107739,4903.300977899258,52.5494302608752,81.15265029481296,66.85104027784408,20.0,1,16
TOP_DPR_original,19748.908266502538,4975.709074283848,20.87188328999254,74.66325639201617,47.76756984100435,20.0,1,10
TOP_LOP_original,28448.100112382705,11305.732423888443,28.428980975807573,69.88859549225337,49.158788234030474,20.0,1,34
TOP_RTZinf_original,16816.93389966404,14087.522783711855,63.338044384208615,74.36303466553218,68.8505395248704,20.0,1,53
TOP_FMZ_original,26592.034463698008,12837.46456958217,40.3615511988871,80.18239001641423,60.271970607650665,20.0,1,28
TOP_RTZsup_original,12007.395041661708,8748.49502160316,66.86264883187394,88.14193313443917,77.50229098315656,20.0,1,26
TOP_OSV_original,12368.480042403115,7621.221751932317,56.137682686261776,84.94363413686384,70.5406584115628,20.0,1,21
