x,y,horizontal_weight,vertical_norm,arithmetic_combined,geometric_combined,min_combined,has_vertical,lon,lat
665514.47635001,5072450.26430742,0.4826606539387023,0.9999750164845937,0.7413178352116481,0.6947291525327108,0.4826606539387023,True,11.129347471186776,45.78576860613186
665714.47635001,5072450.26430742,0.5309235941712229,0.9999750236895991,0.7654493089304111,0.7286359404110778,0.5309235941712229,True,11.131918677523277,45.785720638110675
665914.47635001,5072450.26430742,0.46925359187991444,0.9999999997191918,0.7346267957995531,0.6850208695712446,0.46925359187991444,True,11.134489877351,45.78567261226802
666114.47635001,5072450.26430742,0.3094398945407977,0.9999999998423084,0.654719947191553,0.5562732192834755,0.3094398945407977,True,11.137061070662117,45.78562452860431
666314.47635001,5072450.26430742,0.12550046379504506,0.9999999998423011,0.5627502318186731,0.3542604462471837,0.12550046379504506,True,11.139632257448813,45.78557638711991
666514.47635001,5072450.26430742,0.2513937463925639,0.9999999998732522,0.625696873132908,0.5013918092277738,0.2513937463925639,True,11.142203437703262,45.785528187815196
666714.47635001,5072450.26430742,0.4441232556053254,0.9999999998902076,0.7220616277477665,0.6664257314634272,0.4441232556053254,True,11.144774611417649,45.78547993069057
666914.47635001,5072450.26430742,0.5410721049174532,0.9949209344791524,0.7679965196983027,0.7337056386897095,0.5410721049174532,True,11.147345778584151,45.785431615746404
667114.47635001,5072450.26430742,0.5459446363931693,0.995483312198612,0.7707139742958906,0.7372101294161244,0.5459446363931693,True,11.14991693919495,45.7853832429831
667314.47635001,5072450.26430742,0.4858505371379956,0.9999999999633957,0.7429252685506956,0.6970297964364303,0.4858505371379956,True,11.152488093242223,45.78533481240101
667514.47635001,5072450.26430742,0.5680604575324331,0.9999999999897506,0.7840302287610919,0.7536978555937457,0.5680604575324331,True,11.155059240718153,45.78528632400055
667714.47635001,5072450.26430742,0.5613348210891678,0.9999999999585306,0.7806674105238491,0.7492228113624742,0.5613348210891678,True,11.157630381614918,45.78523777778211
667914.47635001,5072450.26430742,0.47117007056733834,0.9999999999585854,0.7355850352629618,0.6864182912392596,0.47117007056733834,True,11.160201515924703,45.78518917374606
668114.47635001,5072450.26430742,0.5355714925260031,0.9999999994831976,0.7677857460046004,0.7318275017032487,0.5355714925260031,True,11.162772643639684,45.78514051189279
665514.47635001,5072650.26430742,0.2765064926217927,0.9999750102302141,0.6382407514260033,0.525832276289881,0.2765064926217927,True,11.129415995238192,45.7875674975118
665714.47635001,5072650.26430742,0.41971015881758333,0.9999750171262197,0.7098425879719015,0.6478423212878742,0.41971015881758333,True,11.131987284165394,45.787519526497555
665914.47635001,5072650.26430742,0.5313073226581949,0.9999750263990884,0.7656411745286417,0.7288992070246458,0.5313073226581949,True,11.134558566583047,45.78747149765823
666114.47635001,5072650.26430742,0.5385677667778016,0.9999950158988513,0.7692813913383265,0.733869935684503,0.5385677667778016,True,11.137129842483338,45.78742341099424
666314.47635001,5072650.26430742,0.43933828786828577,0.999999999771939,0.7196691438201124,0.6628259860386357,0.43933828786828577,True,11.139701111858441,45.78737526650597
666514.47635001,5072650.26430742,0.2510819773195891,0.9999999998422986,0.6255409885809439,0.5010808091316141,0.2510819773195891,True,11.142272374700536,45.78732706419378
666714.47635001,5072650.26430742,0.16827012785367346,0.999999999873244,0.5841350638634587,0.4102074204988791,0.16827012785367346,True,11.1448436310018,45.78727880405808
666914.47635001,5072650.26430742,0.4051276247606189,0.9999999998902228,0.7025638123254209,0.6364963666166094,0.4051276247606189,True,11.147414880754415,45.78723048609923
667114.47635001,5072650.26430742,0.5570772159090204,0.9949215017410364,0.7759993588250285,0.7444784081744199,0.5570772159090204,True,11.149986123950557,45.78718211031764
667314.47635001,5072650.26430742,0.5997585512411917,0.9999999999979218,0.7998792756195567,0.7744407990543533,0.5997585512411917,True,11.152557360582406,45.78713367671368
667514.47635001,5072650.26430742,0.595532394448252,0.999999999972416,0.797766197210334,0.7717074539174963,0.595532394448252,True,11.155128590642143,45.78708518528773
667714.47635001,5072650.26430742,0.5640563364357487,0.9999999999774731,0.7820281682066109,0.751036840922629,0.5640563364357487,True,11.157699814121946,45.7870366360402
667914.47635001,5072650.26430742,0.5399957314133289,0.9999999999586449,0.7699978656859869,0.7348440184086671,0.5399957314133289,True,11.160271031013997,45.78698802897146
668114.47635001,5072650.26430742,0.5124525974545345,0.9999999995009032,0.7562262984777188,0.7158579448457432,0.5124525974545345,True,11.162842241310472,45.786939364081896
668314.47635001,5072650.26430742,0.5217569881360326,0.9999999995009968,0.7608784938185147,0.7223274796625656,0.5217569881360326,True,11.165413445003553,45.7868906413719
665314.47635001,5072850.26430742,0.30335045933124843,0.9839340196091134,0.643642239470181,0.546330336701218,0.30335045933124843,True,11.126913147763133,45.78941430442145
665514.47635001,5072850.26430742,0.12707756383531987,0.9999999999907855,0.5635387819130526,0.35647940169685666,0.12707756383531987,True,11.129484525791334,45.78936638824298
665714.47635001,5072850.26430742,0.213977189515332,0.9999750082182697,0.6069760988668008,0.46257090466664286,0.213977189515332,True,11.13205589731705,45.78931841423547
665914.47635001,5072850.26430742,0.41518941865024755,0.9999750166960498,0.7075822176731487,0.6443438878788286,0.41518941865024755,True,11.134627262332463,45.78927038239931
666114.47635001,5072850.26430742,0.5294453979323033,0.9999750289312789,0.7647102134317911,0.7276209020601919,0.5294453979323033,True,11.137198620829746,45.78922229273486
666314.47635001,5072850.26430742,0.5697886099079941,0.9999950162143748,0.7848918130611844,0.754841553045214,0.5697886099079941,True,11.139769972801076,45.78917414524251
666514.47635001,5072850.26430742,0.5389583715889268,0.9999999997719574,0.7694791856804422,0.7341378422789696,0.5389583715889268,True,11.142341318238635,45.789125939922656
666714.47635001,5072850.26430742,0.4045425643029349,0.999999999842295,0.7022712820726149,0.6360366060527778,0.4045425643029349,True,11.1449126571346,45.78907767677569
666914.47635001,5072850.26430742,0.1869252372238048,0.9999999998732333,0.593462618548519,0.43234851358609855,0.1869252372238048,True,11.147483989481145,45.78902935580197
667114.47635001,5072850.26430742,0.45515394948922794,0.9999999998902878,0.7275769746897578,0.6746509834272029,0.45515394948922794,True,11.150055315270455,45.788980977001906
667314.47635001,5072850.26430742,0.6251890302362297,0.9949205555271418,0.8100547928816857,0.7886782723469087,0.6251890302362297,True,11.152626634494702,45.78893254037586
667514.47635001,5072850.26430742,0.6287604002347253,0.9999999999978854,0.8143802001163054,0.7929441343710133,0.6287604002347253,True,11.155197947146068,45.788884045924235
667714.47635001,5072850.26430742,0.5970446186223279,0.9999999999894778,0.7985223093059028,0.7726866238107437,0.5970446186223279,True,11.15776925321673,45.78883549364742
667914.47635001,5072850.26430742,0.5862907811958071,0.9999999999279402,0.7931453905618737,0.7656962721298564,0.5862907811958071,True,11.160340552698866,45.78878688354578
668114.47635001,5072850.26430742,0.5452570074120835,0.999999999501371,0.7726285034567273,0.7384151996947264,0.5452570074120835,True,11.162911845584656,45.78873821561973
668314.47635001,5072850.26430742,0.45200889103314446,0.9999999995081139,0.7260044452706291,0.672316064668105,0.45200889103314446,True,11.16548313186628,45.78868948986964
668514.47635001,5072850.26430742,0.2764684869707747,0.9999999995079214,0.6382342432393481,0.525802707139028,0.2764684869707747,True,11.168054411535914,45.788640706295915
668714.47635001,5072850.26430742,0.49887602213561233,0.9999999994928831,0.7494380108142478,0.7063115614816339,0.49887602213561233,True,11.170625684585742,45.788591864898926
665114.47635001,5073050.26430742,0.5101765615299437,0.983936734612981,0.7470566480714624,0.7085064996369839,0.5101765615299437,True,11.124410135080934,45.791261058829
665314.47635001,5073050.26430742,0.5184109946573265,0.9839347789546982,0.7511728868060124,0.7142006772860424,0.5184109946573265,True,11.126981602211655,45.79121319749372
665514.47635001,5073050.26430742,0.420228797807384,0.9839323368352169,0.7020805673213004,0.6430215416547669,0.420228797807384,True,11.12955306284696,45.79116527832542
665714.47635001,5073050.26430742,0.2339798171554695,0.9999999999907866,0.6169899085731281,0.48371460299779423,0.2339798171554695,True,11.132124516979015,45.79111730132445
665914.47635001,5073050.26430742,0.12418381474779935,1.0,0.5620919073738997,0.35239723998323164,0.12418381474779935,True,11.134695964600006,45.791069266491235
666114.47635001,5073050.26430742,0.37650266820723666,0.9999750135173306,0.6882388408622837,0.6135904666223576,0.37650266820723666,True,11.137267405702104,45.791021173826124
666314.47635001,5073050.26430742,0.558415703595026,0.9999750299427991,0.7791953667689125,0.7472628452713043,0.558415703595026,True,11.139838840277486,45.790973023329535
666514.47635001,5073050.26430742,0.6396286498242736,0.9999750569915488,0.8198018534079112,0.7997578980925761,0.6396286498242736,True,11.142410268318333,45.79092481500182
666714.47635001,5073050.26430742,0.6058401570370242,0.9999999997719808,0.8029200784045025,0.7783573452463084,0.6058401570370242,True,11.144981689816817,45.79087654884339
666914.47635001,5073050.26430742,0.5211483327064408,0.9999999998422902,0.7605741662743655,0.7219060414099958,0.5211483327064408,True,11.14755310476512,45.790828224854614
667114.47635001,5073050.26430742,0.6467510335716331,0.9999999998901197,0.8233755167308764,0.8042083271768379,0.6467510335716331,True,11.150124513155415,45.79077984303587
667314.47635001,5073050.26430742,0.6475589110906956,0.996459709475023,0.8220093102828594,0.8032847343335966,0.6475589110906956,True,11.152695914979878,45.79073140338755
