x,y,abs_delta_z,abs_delta_norm,lon,lat
665514.47635001,5072450.26430742,8.924856923344026e-05,0.9999750164845937,11.129347471186776,45.78576860613186
665714.47635001,5072450.26430742,8.922283087769466e-05,0.9999750236895991,11.131918677523277,45.785720638110675
665914.47635001,5072450.26430742,1.2538550863373124e-09,0.9999999997191918,11.134489877351,45.78567261226802
666114.47635001,5072450.26430742,8.140474237227816e-10,0.9999999998423084,11.137061070662117,45.78562452860431
666314.47635001,5072450.26430742,8.140734552496418e-10,0.9999999998423011,11.139632257448813,45.78557638711991
666514.47635001,5072450.26430742,7.035073654477738e-10,0.9999999998732522,11.142203437703262,45.785528187815196
666714.47635001,5072450.26430742,6.429377911277999e-10,0.9999999998902076,11.144774611417649,45.78547993069057
666914.47635001,5072450.26430742,0.01814388632707183,0.9949209344791524,11.147345778584151,45.785431615746404
667114.47635001,5072450.26430742,0.016134911008311617,0.995483312198612,11.14991693919495,45.7853832429831
667314.47635001,5072450.26430742,3.8148864499685905e-10,0.9999999999633957,11.152488093242223,45.78533481240101
667514.47635001,5072450.26430742,2.8734123373540564e-10,0.9999999999897506,11.155059240718153,45.78528632400055
667714.47635001,5072450.26430742,3.988682546793906e-10,0.9999999999585306,11.157630381614918,45.78523777778211
667914.47635001,5072450.26430742,3.9867266567221547e-10,0.9999999999585854,11.160201515924703,45.78518917374606
668114.47635001,5072450.26430742,2.0968946198528066e-09,0.9999999994831976,11.162772643639684,45.78514051189279
665514.47635001,5072650.26430742,8.927091168046565e-05,0.9999750102302141,11.129415995238192,45.7875674975118
665714.47635001,5072650.26430742,8.924627716069777e-05,0.9999750171262197,11.131987284165394,45.787519526497555
665914.47635001,5072650.26430742,8.921315180085199e-05,0.9999750263990884,11.134558566583047,45.78747149765823
666114.47635001,5072650.26430742,1.7804896693229106e-05,0.9999950158988513,11.137129842483338,45.78742341099424
666314.47635001,5072650.26430742,1.0654273076247485e-09,0.999999999771939,11.139701111858441,45.78737526650597
666514.47635001,5072650.26430742,8.140823720967139e-10,0.9999999998422986,11.142272374700536,45.78732706419378
666714.47635001,5072650.26430742,7.035366614164623e-10,0.999999999873244,11.1448436310018,45.78727880405808
666914.47635001,5072650.26430742,6.428834572752179e-10,0.9999999998902228,11.147414880754415,45.78723048609923
667114.47635001,5072650.26430742,0.018141859904109228,0.9949215017410364,11.149986123950557,45.78718211031764
667314.47635001,5072650.26430742,2.5815163001184714e-10,0.9999999999979218,11.152557360582406,45.78713367671368
667514.47635001,5072650.26430742,3.4926569263513015e-10,0.999999999972416,11.155128590642143,45.78708518528773
667714.47635001,5072650.26430742,3.31199893658463e-10,0.9999999999774731,11.157699814121946,45.7870366360402
667914.47635001,5072650.26430742,3.9845990449732227e-10,0.9999999999586449,11.160271031013997,45.78698802897146
668114.47635001,5072650.26430742,2.0336451908087384e-09,0.9999999995009032,11.162842241310472,45.786939364081896
668314.47635001,5072650.26430742,2.0333106361362417e-09,0.9999999995009968,11.165413445003553,45.7868906413719
665314.47635001,5072850.26430742,0.05739231321076611,0.9839340196091134,11.126913147763133,45.78941430442145
665514.47635001,5072850.26430742,2.836445359339165e-10,0.9999999999907855,11.129484525791334,45.78936638824298
665714.47635001,5072850.26430742,8.927809892595676e-05,0.9999750082182697,11.13205589731705,45.78931841423547
665914.47635001,5072850.26430742,8.92478138514044e-05,0.9999750166960498,11.134627262332463,45.78927038239931
666114.47635001,5072850.26430742,8.920410608654007e-05,0.9999750289312789,11.137198620829746,45.78922229273486
666314.47635001,5072850.26430742,1.780376955213018e-05,0.9999950162143748,11.139769972801076,45.78917414524251
666514.47635001,5072850.26430742,1.0653612846234655e-09,0.9999999997719574,11.142341318238635,45.789125939922656
666714.47635001,5072850.26430742,8.140949689280131e-10,0.999999999842295,11.1449126571346,45.78907767677569
666914.47635001,5072850.26430742,7.035749231859388e-10,0.9999999998732333,11.147483989481145,45.78902935580197
667114.47635001,5072850.26430742,6.426512221032877e-10,0.9999999998902878,11.150055315270455,45.788980977001906
667314.47635001,5072850.26430742,0.018145240052886286,0.9949205555271418,11.152626634494702,45.78893254037586
667514.47635001,5072850.26430742,2.58281458031708e-10,0.9999999999978854,11.155197947146068,45.788884045924235
667714.47635001,5072850.26430742,2.883159673382001e-10,0.9999999999894778,11.15776925321673,45.78883549364742
667914.47635001,5072850.26430742,5.081459199366313e-10,0.9999999999279402,11.160340552698866,45.78878688354578
668114.47635001,5072850.26430742,2.0319743349978505e-09,0.999999999501371,11.162911845584656,45.78873821561973
668314.47635001,5072850.26430742,2.0078863036889148e-09,0.9999999995081139,11.16548313186628,45.78868948986964
668514.47635001,5072850.26430742,2.0085742217972372e-09,0.9999999995079214,11.168054411535914,45.788640706295915
668714.47635001,5072850.26430742,2.0622952846303e-09,0.9999999994928831,11.170625684585742,45.788591864898926
665114.47635001,5073050.26430742,0.05738261443435381,0.983936734612981,11.124410135080934,45.791261058829
665314.47635001,5073050.26430742,0.05738960060945686,0.9839347789546982,11.126981602211655,45.79121319749372
665514.47635001,5073050.26430742,0.05739832456418291,0.9839323368352169,11.12955306284696,45.79116527832542
665714.47635001,5073050.26430742,2.8364043392421453e-10,0.9999999999907866,11.132124516979015,45.79111730132445
665914.47635001,5073050.26430742,2.507275391424047e-10,1.0,11.134695964600006,45.791069266491235
666114.47635001,5073050.26430742,8.925916915256547e-05,0.9999750135173306,11.137267405702104,45.791021173826124
666314.47635001,5073050.26430742,8.920049264465665e-05,0.9999750299427991,11.139838840277486,45.790973023329535
666514.47635001,5073050.26430742,8.910386671414764e-05,0.9999750569915488,11.142410268318333,45.79092481500182
666714.47635001,5073050.26430742,1.065277751338235e-09,0.9999999997719808,11.144981689816817,45.79087654884339
666914.47635001,5073050.26430742,8.141125971908441e-10,0.9999999998422902,11.14755310476512,45.790828224854614
667114.47635001,5073050.26430742,6.432517401973647e-10,0.9999999998901197,11.150124513155415,45.79077984303587
667314.47635001,5073050.26430742,0.012646938491371502,0.996459709475023,11.152695914979878,45.79073140338755
667514.47635001,5073050.26430742,0.019239894460131055,0.9946141260536714,11.155267310230693,45.79068290591006
667714.47635001,5073050.26430742,2.592697875439416e-10,0.9999999999976087,11.157838698900035,45.79063435060376
667914.47635001,5073050.26430742,2.093733284118138e-09,0.9999999994840826,11.16041008098008,45.79058573746906
668114.47635001,5073050.26430742,2.004943135348095e-09,0.9999999995089378,11.162981456463006,45.79053706650632
668314.47635001,5073050.26430742,2.0608474025044394e-09,0.9999999994932884,11.165552825340994,45.79048833771595
