x,y,lon,lat,dist_wells,dist_wells_km,weight_wells,dist_sections,dist_sections_km,weight_sections,dist_maps,dist_maps_km,weight_maps,weight_combined
665517.02141074,5072456.10735802,11.129382192495015,45.78582055116231,,,,112.94076965761779,0.11294076965761779,0.9058491269473645,3667.5065874222296,3.6675065874222295,0.005760270184989328,0.45580469856617695
665717.02141074,5072456.10735802,11.13195340116154,45.78577258231788,,,,10.573067592975022,0.010573067592975022,0.99924198343755,3638.235132253262,3.6382351322532616,0.0062406882099102275,0.5027413358237302
665917.02141074,5072456.10735802,11.134524603319159,45.785724555651896,,,,133.95998314943068,0.1339599831494307,0.8681875864104682,3619.793528136428,3.619793528136428,0.006551141829631863,0.43736936412005006
666117.02141074,5072456.10735802,11.137095798960054,45.78567647116474,,,,257.4025629861107,0.2574025629861107,0.5351857749261615,3612.347643169858,3.612347643169858,0.006678235060646874,0.2709320049934042
666317.02141074,5072456.10735802,11.139666988076403,45.7856283288568,,,,361.15279483785037,0.36115279483785034,0.13684915252129945,3615.9654041336307,3.6159654041336307,0.00661635709133931,0.07173275480631938
666517.02141074,5072456.10735802,11.142238170660384,45.78558012872845,,,,309.101462730139,0.309101462730139,0.34760800557948557,3630.613737740184,3.6306137377401844,0.006368248889631585,0.1769881272345586
666717.02141074,5072456.10735802,11.144809346704182,45.78553187078009,,,,194.61169234750952,0.19461169234750952,0.727066301836891,3656.160065074314,3.656160065074314,0.005944725126734193,0.3665055134818126
666917.02141074,5072456.10735802,11.147380516199972,45.785483555012064,,,,103.34903170383646,0.10334903170383646,0.9210127462734041,3692.3781943648014,3.6923781943648013,0.005363601012829723,0.46318817364311693
667117.02141074,5072456.10735802,11.149951679139939,45.785435181424816,,,,103.33790827723908,0.10333790827723909,0.9210295851336509,3738.958015142338,3.738958015142338,0.004648010200488718,0.4628387976670698
667317.02141074,5072456.10735802,11.152522835516256,45.7853867500187,,,,159.19261088420154,0.15919261088420153,0.8151661829686747,3795.5180605252813,3.795518060525281,0.0038243874058500704,0.4094952851872624
667517.02141074,5072456.10735802,11.155093985321109,45.7853382607941,,,,41.44755930290181,0.04144755930290181,0.9872478268491129,3861.619822891691,3.861619822891691,0.002920410263144237,0.4950841185561286
667717.02141074,5072456.10735802,11.157665128546677,45.7852897137514,,,,21.151155576979644,0.021151155576979642,0.9967327349289372,3936.782692164569,3.936782692164569,0.001963153804903464,0.4993479443669203
667917.02141074,5072456.10735802,11.160236265185139,45.785241108891,,,,148.65042706319875,0.14865042706319875,0.8383341143134616,4020.498510645536,4.020498510645536,0.0009776293959304122,0.419655871854696
665517.02141074,5072656.10735802,11.129450717787373,45.78761944248524,,,,273.33086259333527,0.2733308625933353,0.47999310025976194,3470.6961675504444,3.4706961675504444,0.00930238246956963,0.24464774136466577
665717.02141074,5072656.10735802,11.13202200904481,45.787571470647705,,,,181.97616610742685,0.18197616610742684,0.7602675667824432,3439.750310157091,3.439750310157091,0.009932250903180765,0.385099908842812
665917.02141074,5072656.10735802,11.134593293792584,45.78752344098499,,,,76.8872507044414,0.0768872507044414,0.9561102024914091,3420.238661994549,3.4202386619945493,0.010340757702707776,0.48322548009705846
666117.02141074,5072656.10735802,11.137164572022867,45.78747535349751,,,,78.5714097070261,0.07857140970702611,0.954174878805413,3412.357369001483,3.4123573690014832,0.010508325648682775,0.48234160222704786
666317.02141074,5072656.10735802,11.139735843727845,45.78742720818564,,,,192.12651702843672,0.19212651702843672,0.7337478291655639,3416.1869273438747,3.4161869273438747,0.01042671751939269,0.3720872733424783
666517.02141074,5072656.10735802,11.14230710889969,45.787379005049765,,,,313.2555597062418,0.3132555597062418,0.33153039768827947,3431.6881314204015,3.4316881314204015,0.010099960039779832,0.17081517886402964
666717.02141074,5072656.10735802,11.144878367530582,45.78733074409026,,,,369.259318326129,0.369259318326129,0.10236387940153575,3458.704055005011,3.458704055005011,0.009543889897802253,0.055953884649669
666917.02141074,5072656.10735802,11.147449619612704,45.78728242530754,,,,247.20592727947002,0.24720592727947002,0.5692091593160664,3496.96783640979,3.49696783640979,0.008784411555117456,0.28899678543559193
667117.02141074,5072656.10735802,11.150020865138233,45.78723404870195,,,,127.85308683607619,0.12785308683607619,0.8797496133614922,3546.1153897837316,3.546115389783732,0.007854800758254408,0.4438022070598733
667317.02141074,5072656.10735802,11.152592104099346,45.78718561427389,,,,45.38026183629657,0.04538026183629657,0.9847027587246451,3605.701688498022,3.605701688498022,0.006792534953391114,0.4957476468390181
667517.02141074,5072656.10735802,11.155163336488226,45.78713712202374,,,,34.69103817652574,0.03469103817652574,0.9910853280967348,3675.2190377192414,3.6752190377192413,0.0056361512937642055,0.49836073969524947
667717.02141074,5072656.10735802,11.157734562297048,45.787088571951905,,,,76.23183207183538,0.07623183207183538,0.9568522984312836,3754.11577924688,3.75411577924688,0.0044225398493305465,0.48063741914030705
667917.02141074,5072656.10735802,11.160305781517996,45.78703996405877,,,,88.45737051895853,0.08845737051895852,0.9419922606877995,3841.8141017970756,3.8418141017970755,0.003184921341888363,0.47258859101484396
668117.02141074,5072656.10735802,11.162876994143247,45.7869912983447,,,,110.55515355200421,0.11055515355200421,0.9097402757481619,3937.7259810128144,3.9377259810128145,0.0019515904009965606,0.4558459330745792
668317.02141074,5072656.10735802,11.165448200164981,45.78694257481012,,,,84.6788549893134,0.08467885498931339,0.9468140635843467,4041.2666591453467,4.0412666591453466,0.0007453691685036865,0.4737797163764252
665317.02141074,5072856.10735802,11.126947869222793,45.78946625016111,,,,251.49519232799605,0.25149519232799605,0.5550246120344365,3307.1120927067914,3.307112092706791,0.012896299006051168,0.28396045552024385
665517.02141074,5072856.10735802,11.129519249581573,45.789418333159404,,,,350.68731357627814,0.35068731357627814,0.18075406640750374,3273.7632946103663,3.273763294610366,0.013715488540496045,0.09723477747399989
665717.02141074,5072856.10735802,11.132090623437747,45.78937035832855,,,,317.93347931076664,0.31793347931076665,0.3132608591651996,3241.451760382946,3.241451760382946,0.014540302414145436,0.1639005807896725
665917.02141074,5072856.10735802,11.134661990783496,45.789322325668934,,,,204.73297640465324,0.20473297640465324,0.6991025941322588,3220.739018248166,3.2207390182481657,0.015085818227528374,0.3570942061798936
666117.02141074,5072856.10735802,11.137233351610991,45.78927423518095,,,,115.0078302017218,0.1150078302017218,0.9024138077650331,3212.3683058520264,3.2123683058520265,0.01531011151234206,0.4588619596386876
666317.02141074,5072856.10735802,11.139804705912415,45.78922608686496,,,,93.70699169579134,0.09370699169579134,0.9349550948504273,3216.4359843185252,3.216435984318525,0.015200839172501089,0.47507796701146415
666517.02141074,5072856.10735802,11.142376053679945,45.78917788072136,,,,148.1501339523745,0.1481501339523745,0.8393976607365722,3232.8951034630772,3.2328951034630773,0.014764039838009401,0.4270808502872908
666717.02141074,5072856.10735802,11.144947394905756,45.78912961675055,,,,256.11177073162304,0.25611177073162306,0.5395503728561523,3261.558072267302,3.2615580722673023,0.014023373515372707,0.2767868731857625
666917.02141074,5072856.10735802,11.14751872958203,45.78908129495288,,,,373.785140212526,0.373785140212526,0.08293753360465689,3302.107110247707,3.3021071102477073,0.013017222817534832,0.04797737821109586
667117.02141074,5072856.10735802,11.150090057700941,45.78903291532877,,,,233.25817250105013,0.23325817250105013,0.6140200485730833,3354.1111604007583,3.3541111604007585,0.011794272082661364,0.31290716032787236
667317.02141074,5072856.10735802,11.15266137925467,45.78898447787857,,,,68.92911614409152,0.06892911614409153,0.9647000898322119,3417.04726117468,3.41704726117468,0.010408432204410232,0.48755426101831106
667517.02141074,5072856.10735802,11.155232694235396,45.7889359826027,,,,29.472331500941387,0.029472331500941387,0.9935853218950025,3490.3240958223128,3.490324095822313,0.008913978608640653,0.5012496502518216
667717.02141074,5072856.10735802,11.157804002635297,45.78888742950155,,,,56.13406342229825,0.05613406342229825,0.9765778615758999,3573.3055568554873,3.5733055568554875,0.007361561871242819,0.49196971172357135
667917.02141074,5072856.10735802,11.160375304446548,45.78883881857547,,,,29.663183206388986,0.029663183206388985,0.9935010323553098,3665.332578556926,3.6653325785569257,0.005795440506392111,0.499648236430851
668117.02141074,5072856.10735802,11.162946599661334,45.78879014982486,,,,79.59361669010616,0.07959361669010616,0.9529802799361168,3765.742054390771,3.765742054390771,0.004251983964664464,0.4786161319503906
668317.02141074,5072856.10735802,11.165517888271829,45.78874142325014,,,,173.8787452375043,0.1738787452375043,0.7805221527040932,3873.8822296223316,3.8738822296223314,0.002759274543162567,0.3916407136236279
668517.02141074,5072856.10735802,11.168089170270216,45.78869263885165,,,,270.92349545241984,0.27092349545241984,0.48849038053598137,3989.1244450079703,3.9891244450079704,0.0013375239864553774,0.24491395226121837
668717.02141074,5072856.10735802,11.17066044564867,45.78864379662981,,,,88.44493816913355,0.08844493816913356,0.942008460350308,4110.871458284315,4.110871458284315,0.0,0.471004230175154
665117.02141074,5073056.10735802,11.124444855450635,45.79131300533488,,,,76.42092283763911,0.07642092283763911,0.9566388378010886,3159.0038316097443,3.1590038316097444,0.016794004640459857,0.48671642122077424
665317.02141074,5073056.10735802,11.12701632491228,45.7912651431764,,,,67.86657774242597,0.06786657774242598,0.9657774256614896,3111.244272559722,3.111244272559722,0.01820559017041565,0.49199150791595264
665517.02141074,5073056.10735802,11.12958778787838,45.79121722318481,,,,183.98071181851907,0.18398071181851908,0.7551291621434236,3075.7725271785457,3.075772527178546,0.01930863865462543,0.3872189003990245
665717.02141074,5073056.10735802,11.132159244341112,45.79116924536044,,,,305.89090749370826,0.30589090749370823,0.35993797988782944,3043.3758942256204,3.0433758942256204,0.020359178351645916,0.19014857911973768
665917.02141074,5073056.10735802,11.134730694292656,45.79112120970373,,,,376.6071940617159,0.3766071940617159,0.0707632613240764,3021.305536077087,3.0213055360770866,0.021099531173682122,0.045931396248879264
