x,y,horizontal_weight,vertical_norm,arithmetic_combined,geometric_combined,min_combined,has_vertical,lon,lat
665514.74568317,5072451.00574564,0.47626141138411354,0.9994597451431927,0.7378605782636531,0.6899305101555542,0.47626141138411354,True,11.129351187766947,45.78577521040914
665714.74568317,5072451.00574564,0.5266490152360742,0.999459686580531,0.7630543509083025,0.725509792977181,0.5266490152360742,True,11.131922394400855,45.78572724229899
665914.74568317,5072451.00574564,0.4676710897685499,0.9994595977262781,0.733565343747414,0.6836800123217623,0.4676710897685499,True,11.134493594525967,45.78567921636738
666114.74568317,5072451.00574564,0.3112894383226658,0.9994594719005263,0.6553744551115961,0.5577823747970018,0.3112894383226658,True,11.137064788134465,45.78563113261467
666314.74568317,5072451.00574564,0.1309522140659365,0.9994593041137573,0.5652057590898469,0.36177535673743266,0.1309522140659365,True,11.139635975218525,45.78558299104127
666514.74568317,5072451.00574564,0.2609077776714146,0.9994591016955241,0.6301834396834693,0.510653163210459,0.2609077776714146,True,11.142207155770327,45.78553479164755
666714.74568317,5072451.00574564,0.46103790102213077,0.9994589380892177,0.7302484195556742,0.6788140032250813,0.46103790102213077,True,11.144778329782051,45.78548653443389
666914.74568317,5072451.00574564,0.565919833457163,0.9994587583652801,0.7826892959112215,0.7520728249853084,0.565919833457163,True,11.147349497245878,45.78543821940068
667114.74568317,5072451.00574564,0.5770415264648325,0.9994585767852955,0.788250051625064,0.7594268251691902,0.5770415264648325,True,11.149920658153988,45.78538984654833
667314.74568317,5072451.00574564,0.5221364046477459,0.999458461055636,0.7607974328516909,0.7223943849798106,0.5221364046477459,True,11.15249181249856,45.785341415877184
667514.74568317,5072451.00574564,0.6096029797844127,0.9992319085905526,0.8044174441874826,0.7804708508153695,0.6096029797844127,True,11.155062960271774,45.78529292738764
667714.74568317,5072451.00574564,0.6126183826894085,0.9988338511324825,0.8057261169109455,0.7822429152483357,0.6126183826894085,True,11.157634101465812,45.78524438108011
667914.74568317,5072451.00574564,0.5263680032296867,0.9969558261404058,0.7616619146850463,0.7244071006787055,0.5263680032296867,True,11.160205236072853,45.78519577695496
665514.74568317,5072651.00574564,0.2708178211578899,0.9997625398203607,0.6352901804891253,0.5203398050403488,0.2708178211578899,True,11.12941971195369,45.78757410178265
665714.74568317,5072651.00574564,0.4165346918241407,0.9994598508146333,0.707997271319387,0.6452206606655392,0.4165346918241407,True,11.131991001178323,45.78752613067943
665914.74568317,5072651.00574564,0.5301419793280473,0.9994597699485247,0.7648008746382859,0.727911794587274,0.5301419793280473,True,11.134562283893397,45.78747810175115
666114.74568317,5072651.00574564,0.5415420820642426,0.9994596422729406,0.7705008621685916,0.7356965784993643,0.5415420820642426,True,11.137133560091092,45.78743001499815
666314.74568317,5072651.00574564,0.44833792876575096,0.9994594571103872,0.7238986929380691,0.6693994195442754,0.44833792876575096,True,11.13970482976359,45.78738187042087
666514.74568317,5072651.00574564,0.2680606134750264,0.9994592085933757,0.633759911034201,0.5176056883369856,0.2680606134750264,True,11.142276092903062,45.78733366801968
666714.74568317,5072651.00574564,0.1926958544143268,0.9994589822345433,0.5960774183244351,0.43885259772930457,0.1926958544143268,True,11.144847349501694,45.78728540779494
666914.74568317,5072651.00574564,0.4413461354234817,0.999458751718187,0.7204024435708344,0.6641590604561523,0.4413461354234817,True,11.14741859955166,45.787237089747045
667114.74568317,5072651.00574564,0.6043755351996152,0.9994585162026165,0.8019170257011159,0.7772054269237765,0.6043755351996152,True,11.149989843045143,45.7871887138764
667314.74568317,5072651.00574564,0.655051075130196,0.9994583860516223,0.8272547305909091,0.8091330485964627,0.655051075130196,True,11.15256107997432,45.78714028018336
667514.74568317,5072651.00574564,0.6592891758771044,0.9989130705253086,0.8291011232012065,0.8115248456082528,0.6592891758771044,True,11.155132310331368,45.787091788668334
667714.74568317,5072651.00574564,0.6424165308147345,0.9977998055308909,0.8201081681728126,0.8006266854887937,0.6424165308147345,True,11.157703534108473,45.7870432393317
667914.74568317,5072651.00574564,0.6238841080642082,0.9969549704350162,0.8104195392496123,0.7886598522240302,0.6238841080642082,True,11.160274751297807,45.786994632173844
668114.74568317,5072651.00574564,0.5923801320641139,0.9999999997770879,0.7961900659206009,0.7696623493013448,0.5923801320641139,True,11.162845961891557,45.78694596719516
668314.74568317,5072651.00574564,0.5915968192883803,0.9999999997770974,0.7957984095327388,0.7691533131674801,0.5915968192883803,True,11.165417165881896,45.78689724439603
665314.74568317,5072851.00574564,0.2967121262083666,0.9999999998471437,0.6483560630277552,0.5447128841536725,0.2967121262083666,True,11.126916864316494,45.78942090877483
665514.74568317,5072851.00574564,0.12273014713564749,0.9999999998471619,0.5613650734914047,0.35032862731568143,0.12273014713564749,True,11.129488242642168,45.7893729925074
665714.74568317,5072851.00574564,0.21115184055292116,0.999762548940445,0.6054571947466831,0.4594580528455834,0.21115184055292116,True,11.132059614465346,45.78932501841091
665914.74568317,5072851.00574564,0.4158551823039545,0.9994599889626546,0.7076575856333046,0.6446942034139698,0.4158551823039545,True,11.134630979778205,45.78927698648577
666114.74568317,5072851.00574564,0.5346685969063015,0.999459870792071,0.7670642338491862,0.7310128636218038,0.5346685969063015,True,11.137202338572921,45.78922889673232
666314.74568317,5072851.00574564,0.580965529305103,0.9994596751470636,0.7902126022260834,0.762004999452707,0.580965529305103,True,11.139773690841675,45.789180749150965
666514.74568317,5072851.00574564,0.5613965771541924,0.999459384780808,0.7804279809675002,0.7490614645144821,0.5613965771541924,True,11.142345036576641,45.78913254374209
666714.74568317,5072851.00574564,0.44170577002268874,0.9994590558815499,0.7205824129521193,0.6644297042459116,0.44170577002268874,True,11.14491637577,45.789084280506074
666914.74568317,5072851.00574564,0.2405537874304431,0.9994587507206378,0.6200062690755405,0.4903300805236698,0.2405537874304431,True,11.147487708413927,45.789035959443304
667114.74568317,5072851.00574564,0.5238501006705119,0.9994584332291808,0.7616542669498463,0.7235788836492525,0.5238501006705119,True,11.150059034500604,45.78898758055417
667314.74568317,5072851.00574564,0.7044430298185032,0.9994582856345472,0.8519506577265252,0.8390836805167929,0.7044430298185032,True,11.152630354022204,45.78893914383905
667514.74568317,5072851.00574564,0.7204305845639796,0.9986687192181029,0.8595496518910413,0.8482166522605287,0.7204305845639796,True,11.15520166697091,45.78889064929834
667714.74568317,5072851.00574564,0.7102994219450323,0.9969561515265007,0.8536277867357664,0.841508988742139,0.7102994219450323,True,11.157772973338899,45.78884209693243
667914.74568317,5072851.00574564,0.7069011619058911,0.9969539056616327,0.851927533783762,0.8394926290795078,0.7069011619058911,True,11.16034427311835,45.78879348674168
