surface,move_length_m,gis_length_m,overlap_pct,buffer_dist_m,n_move_segments_merged,n_gis_segments_merged
TOP_RTZsup_merged_resampledsplit,12000.134592777124,8748.49502160316,78.14221336320917,50.0,25,26
TOP_ARV_merged_resampled_split,7933.893537568427,4903.300977899258,66.28012924471062,50.0,11,16
TOP_DPR_merged_resampled_split,19738.52530158212,4975.709074283848,29.949822324043062,50.0,15,10
TOP_FMZ_merged_resampled_split,26577.216144040925,12837.46456958217,50.19594980201662,50.0,39,28
TOP_LOP_merged_resampled_split,28428.9865487525,11305.732423888443,41.29406226043329,50.0,79,34
TOP_RTZinf_merged_resampled_split,16811.78723940219,14087.522783711855,81.53743948169357,50.0,18,53
TOP_OSV_merged_resampled_split,12361.98933795577,7621.221751932317,72.99383622910297,50.0,44,21
