x,y,fault_throw_m,lon,lat
665517.02141074,5072456.10735802,10.300798956960245,11.129382192495015,45.78582055116231
665717.02141074,5072456.10735802,17.20736082916927,11.13195340116154,45.78577258231788
665917.02141074,5072456.10735802,29.109814730310777,11.134524603319159,45.785724555651896
666117.02141074,5072456.10735802,37.08818945956382,11.137095798960054,45.78567647116474
666317.02141074,5072456.10735802,37.08821371017492,11.139666988076403,45.7856283288568
666517.02141074,5072456.10735802,37.08827946711214,11.142238170660384,45.78558012872845
666717.02141074,5072456.10735802,37.088405373266596,11.144809346704182,45.78553187078009
666917.02141074,5072456.10735802,37.0886171585854,11.147380516199972,45.785483555012064
667117.02141074,5072456.10735802,37.088949014653515,11.149951679139939,45.785435181424816
667317.02141074,5072456.10735802,37.089443282922886,11.152522835516256,45.7853867500187
667517.02141074,5072456.10735802,37.090145564867235,11.155093985321109,45.7853382607941
667717.02141074,5072456.10735802,39.11527157552247,11.157665128546677,45.7852897137514
667917.02141074,5072456.10735802,40.34440998620643,11.160236265185139,45.785241108891
665517.02141074,5072656.10735802,5.889523182903438,11.129450717787373,45.78761944248524
665717.02141074,5072656.10735802,13.167207061181362,11.13202200904481,45.787571470647705
665917.02141074,5072656.10735802,13.167828903555957,11.134593293792584,45.78752344098499
666117.02141074,5072656.10735802,29.08748261758256,11.137164572022867,45.78747535349751
666317.02141074,5072656.10735802,37.087793456594845,11.139735843727845,45.78742720818564
666517.02141074,5072656.10735802,37.087794657529294,11.14230710889969,45.787379005049765
666717.02141074,5072656.10735802,37.08784857197139,11.144878367530582,45.78733074409026
666917.02141074,5072656.10735802,37.087985052987236,11.147449619612704,45.78728242530754
667117.02141074,5072656.10735802,37.08824841607661,11.150020865138233,45.78723404870195
667317.02141074,5072656.10735802,37.0887017281966,11.152592104099346,45.78718561427389
667517.02141074,5072656.10735802,37.08942720787772,11.155163336488226,45.78713712202374
667717.02141074,5072656.10735802,37.09051301079901,11.157734562297048,45.787088571951905
667917.02141074,5072656.10735802,39.113633926890195,11.160305781517996,45.78703996405877
668117.02141074,5072656.10735802,40.35198831383527,11.162876994143247,45.7869912983447
668317.02141074,5072656.10735802,41.76689428261255,11.165448200164981,45.78694257481012
665317.02141074,5072856.10735802,4.986874805065763,11.126947869222793,45.78946625016111
665517.02141074,5072856.10735802,4.986194151212866,11.129519249581573,45.789418333159404
665717.02141074,5072856.10735802,10.232717279876534,11.132090623437747,45.78937035832855
665917.02141074,5072856.10735802,13.177710183485974,11.134661990783496,45.789322325668934
666117.02141074,5072856.10735802,13.169953435061931,11.137233351610991,45.78927423518095
666317.02141074,5072856.10735802,25.529920200717985,11.139804705912415,45.78922608686496
666517.02141074,5072856.10735802,37.087259868565575,11.142376053679945,45.78917788072136
666717.02141074,5072856.10735802,37.087213090144374,11.144947394905756,45.78912961675055
666917.02141074,5072856.10735802,37.08723135931978,11.14751872958203,45.78908129495288
667117.02141074,5072856.10735802,37.087364373916216,11.150090057700941,45.78903291532877
667317.02141074,5072856.10735802,37.08769412438914,11.15266137925467,45.78898447787857
667517.02141074,5072856.10735802,37.08834981919107,11.155232694235396,45.7889359826027
667717.02141074,5072856.10735802,37.0895134623439,11.157804002635297,45.78888742950155
667917.02141074,5072856.10735802,38.09801941117316,11.160375304446548,45.78883881857547
668117.02141074,5072856.10735802,40.29646794960738,11.162946599661334,45.78879014982486
668317.02141074,5072856.10735802,41.657451098655926,11.165517888271829,45.78874142325014
668517.02141074,5072856.10735802,44.37649447723091,11.168089170270216,45.78869263885165
