x,y,abs_delta_z,abs_delta_norm,lon,lat
665514.74568317,5072451.00574564,4.749892756117274e-09,0.9999999998287693,11.129351187766947,45.78577521040914
665714.74568317,5072451.00574564,4.767428843392221e-09,0.9999999998281327,11.131922394400855,45.78572724229899
665914.74568317,5072451.00574564,4.982979343591555e-09,0.9999999998203087,11.134493594525967,45.78567921636738
666114.74568317,5072451.00574564,5.174570107264648e-09,0.9999999998133544,11.137064788134465,45.78563113261467
666314.74568317,5072451.00574564,5.276404970033574e-09,0.999999999809658,11.139635975218525,45.78558299104127
666514.74568317,5072451.00574564,7.037160255636724e-05,0.9999974456639176,11.142207155770327,45.78553479164755
666714.74568317,5072451.00574564,0.001032922236415997,0.9999625071537536,11.144778329782051,45.78548653443389
666914.74568317,5072451.00574564,0.004147754266903307,0.9998494454749931,11.147349497245878,45.78543821940068
667114.74568317,5072451.00574564,0.03395612812063778,0.9987674658510404,11.149920658153988,45.78538984654833
667314.74568317,5072451.00574564,0.034025261696439206,0.9987649564514764,11.15249181249856,45.785341415877184
667514.74568317,5072451.00574564,0.03402527392754006,0.9987649560075139,11.155062960271774,45.78529292738764
667714.74568317,5072451.00574564,0.031057291209092026,0.9988726873732491,11.157634101465812,45.78524438108011
667914.74568317,5072451.00574564,0.03105738818659258,0.9988726838531751,11.160205236072853,45.78519577695496
665514.74568317,5072651.00574564,4.749892143677957e-09,0.9999999998287693,11.12941971195369,45.78757410178265
665714.74568317,5072651.00574564,4.7674282157383476e-09,0.9999999998281327,11.131991001178323,45.78752613067943
665914.74568317,5072651.00574564,4.767428957477154e-09,0.9999999998281327,11.134562283893397,45.78747810175115
666114.74568317,5072651.00574564,5.0212352895005275e-09,0.9999999998189201,11.137133560091092,45.78743001499815
666314.74568317,5072651.00574564,5.225615472454519e-09,0.9999999998115016,11.13970482976359,45.78738187042087
666514.74568317,5072651.00574564,7.03703194321467e-05,0.9999974457104922,11.142276092903062,45.78733366801968
666714.74568317,5072651.00574564,0.0004146826297013182,0.9999849479168917,11.144847349501694,45.78728540779494
666914.74568317,5072651.00574564,0.0030875048926159005,0.9998879302385336,11.14741859955166,45.787237089747045
667114.74568317,5072651.00574564,0.03395613057754359,0.99876746576186,11.149989843045143,45.7871887138764
667314.74568317,5072651.00574564,0.0340252687186121,0.9987649561965868,11.15256107997432,45.78714028018336
667514.74568317,5072651.00574564,0.03402528382316253,0.9987649556483242,11.155132310331368,45.787091788668334
667714.74568317,5072651.00574564,0.031057341263559555,0.9988726855563799,11.157703534108473,45.7870432393317
667914.74568317,5072651.00574564,0.032540093836449915,0.9988188648387821,11.160274751297807,45.786994632173844
668114.74568317,5072651.00574564,3.77212942890894e-09,0.9999999998642599,11.162845961891557,45.78694596719516
668314.74568317,5072651.00574564,3.771390511571964e-09,0.9999999998642868,11.165417165881896,45.78689724439603
665314.74568317,5072851.00574564,1.8451371940302578e-09,0.9999999999342056,11.126916864316494,45.78942090877483
