x,y,fault_throw_m,lon,lat
667598.70963685,5073351.81079977,38.16215225245983,11.15645493950407,45.793374659535154
667798.70963685,5073351.81079977,38.162152252459826,11.159026449950181,45.79332607530313
667998.70963685,5073351.81079977,38.162152252459826,11.16159795380254,45.793277433237414
668198.70963685,5073351.81079977,38.162152252459826,11.164169451053322,45.793228733338424
667398.70963685,5073551.81079977,38.16215225245983,11.15395275424009,45.795222046039356
667598.70963685,5073551.81079977,38.16215225245983,11.156524353890875,45.795173516613524
667798.70963685,5073551.81079977,38.1621522524598,11.15909594695496,45.79512492935002
667998.70963685,5073551.81079977,38.16215225245977,11.161667533424518,45.79507628424923
668198.70963685,5073551.81079977,38.16215225245981,11.164239113291728,45.79502758131155
668398.70963685,5073551.81079977,38.16215225245986,11.166810686548763,45.79497882053735
668598.70963685,5073551.81079977,38.16215225245986,11.169382253187798,45.794930001927035
666998.70963685,5073751.81079977,15.866465576327842,11.148878708301208,45.79711779687742
667198.70963685,5073751.81079977,15.862308519570384,11.15145040373003,45.797069380107246
667398.70963685,5073751.81079977,36.8306459283039,11.154022092587029,45.797020905495
667598.70963685,5073751.81079977,38.164616382095346,11.156593774864385,45.79697237304111
667798.70963685,5073751.81079977,38.162152252459805,11.159165450554264,45.796923782745935
667998.70963685,5073751.81079977,38.162152252459784,11.161737119648848,45.79687513460988
668198.70963685,5073751.81079977,38.162152252459805,11.16430878214031,45.7968264286333
668398.70963685,5073751.81079977,38.16215225245981,11.166880438020822,45.79677766481664
668598.70963685,5073751.81079977,38.1621522524599,11.16945208728256,45.796728843160224
668798.70963685,5073751.81079977,38.16215225245992,11.172023729917703,45.796679963664495
668998.70963685,5073751.81079977,38.16215225245991,11.174595365918423,45.79663102632983
666798.70963685,5073951.81079977,15.796182983023552,11.146376103327182,45.79896502367338
666998.70963685,5073951.81079977,15.8007657186509,11.148947887956698,45.798916661728185
667198.70963685,5073951.81079977,15.87362533937978,11.151519666021454,45.79886824193694
667398.70963685,5073951.81079977,15.954615087884484,11.154091437513618,45.798819764300035
667598.70963685,5073951.81079977,31.26432556050519,11.156663202425364,45.79877122881788
667798.70963685,5073951.81079977,32.87932747765096,11.159234960748867,45.79872263549085
667998.70963685,5073951.81079977,35.33071717140514,11.1618067124763,45.79867398431931
668198.70963685,5073951.81079977,36.75004376997238,11.164378457599838,45.79862527530367
668398.70963685,5073951.81079977,38.16215225246009,11.166950196111655,45.79857650844432
668598.70963685,5073951.81079977,38.16215225245987,11.169521928003922,45.79852768374163
668798.70963685,5073951.81079977,38.16215225245992,11.172093653268815,45.79847880119602
668998.70963685,5073951.81079977,38.162152252459975,11.174665371898511,45.79842986080786
669198.70963685,5073951.81079977,38.16215225245997,11.177237083885181,45.79838086257755
666598.70963685,5074151.81079977,15.618163241044366,11.143873333071157,45.80081219800436
666798.70963685,5074151.81079977,15.725572801427019,11.146445206902907,45.800763890891545
666998.70963685,5074151.81079977,15.811727473161147,11.149017074176953,45.8007155259287
667198.70963685,5074151.81079977,15.891723598614913,11.151588934885467,45.80066710311621
667398.70963685,5074151.81079977,15.786541507481182,11.15416078902062,45.80061862245447
667598.70963685,5074151.81079977,15.111355866853778,11.156732636574588,45.80057008394385
667798.70963685,5074151.81079977,26.545840075962655,11.15930447753954,45.800521487584746
667998.70963685,5074151.81079977,26.775730355705967,11.161876311907648,45.80047283337756
668198.70963685,5074151.81079977,27.259695056873277,11.164448139671089,45.800424121322656
668398.70963685,5074151.81079977,33.61857140535015,11.167019960822033,45.80037535142042
668598.70963685,5074151.81079977,39.35467909897651,11.169591775352655,45.80032652367128
668798.70963685,5074151.81079977,38.48969725622117,11.172163583255129,45.800277638075585
