x,y,fault_throw_m,lon,lat
667488.94792678,5075276.20642639,28.953132853117015,11.155711410339867,45.81070985087212
667688.94792678,5075276.20642639,26.519580503219828,11.158283719678415,45.81066126922207
667888.94792678,5075276.20642639,12.038002354214614,11.160856022420077,45.81061262970345
667088.94792678,5075476.20642639,13.72248200076801,11.150636038926464,45.81260569909615
667288.94792678,5075476.20642639,14.62622579008211,11.153208444130554,45.81255723016026
667488.94792678,5075476.20642639,16.153151354435106,11.15578084275265,45.812508703351405
667688.94792678,5075476.20642639,30.606546861825823,11.158353234784919,45.812460118669996
667888.94792678,5075476.20642639,18.78593334188804,11.16092562021953,45.812411476116395
668088.94792678,5075476.20642639,15.33349432700192,11.163497999048646,45.812362775691014
666488.94792678,5075676.20642639,28.854577550565825,11.142987809383856,45.81454962559441
666688.94792678,5075676.20642639,19.79022620679497,11.145560316992325,45.81450132726618
666888.94792678,5075676.20642639,19.65034734818878,11.148132818041535,45.81445297106023
667088.94792678,5075676.20642639,14.425988227980543,11.15070531252365,45.81440455697694
667288.94792678,5075676.20642639,13.374374437218938,11.153277800430835,45.8143560850167
667488.94792678,5075676.20642639,12.859498806245208,11.155850281755258,45.8143075551799
667688.94792678,5075676.20642639,21.194669601791684,11.158422756489083,45.814258967466934
667888.94792678,5075676.20642639,25.900104934069027,11.160995224624472,45.814210321878186
668088.94792678,5075676.20642639,14.173711697541496,11.163567686153597,45.81416161841402
666088.94792678,5075876.20642639,16.121854983198418,11.1379116411264,45.81644492091515
666288.94792678,5075876.20642639,0.8329746339131268,11.140484244544659,45.816396735337015
666488.94792678,5075876.20642639,27.57394250760114,11.14305684141856,45.81634849187678
666688.94792678,5075876.20642639,26.105572702393832,11.14562943174027,45.81630019053483
666888.94792678,5075876.20642639,25.191393589108454,11.14820201550195,45.81625183131155
667088.94792678,5075876.20642639,18.912668949537597,11.150774592695766,45.81620341420733
667288.94792678,5075876.20642639,18.89899816840668,11.153347163313882,45.81615493922256
667488.94792678,5075876.20642639,18.865346808277348,11.155919727348465,45.81610640635762
667688.94792678,5075876.20642639,15.89179469976432,11.158492284791677,45.8160578156129
667888.94792678,5075876.20642639,19.835451745960146,11.161064835635683,45.816009166988785
668088.94792678,5075876.20642639,3.2141694552522355,11.16363737987265,45.81596046048567
668288.94792678,5075876.20642639,3.48244194710443,11.166209917494742,45.81591169610394
665688.94792678,5076076.20642639,22.304008696846207,11.132835122383096,45.81833999607573
665888.94792678,5076076.20642639,24.427504718619446,11.135407821590698,45.818291923263445
666088.94792678,5076076.20642639,29.718013869172403,11.13798051426885,45.81824379256471
666288.94792678,5076076.20642639,21.824812750606718,11.140553200409716,45.81819560397987
666488.94792678,5076076.20642639,13.44203863056761,11.143125880005458,45.81814735750932
666688.94792678,5076076.20642639,24.002637643536033,11.145698553048243,45.81809905315346
666888.94792678,5076076.20642639,23.42371424540884,11.148271219530228,45.81805069091267
667088.94792678,5076076.20642639,17.65616208070203,11.150843879443581,45.818002270787325
667288.94792678,5076076.20642639,19.07962835972379,11.153416532780463,45.81795379277782
667488.94792678,5076076.20642639,19.079628359723834,11.15598917953304,45.81790525688454
667688.94792678,5076076.20642639,10.998671410650914,11.158561819693478,45.8178566631079
667888.94792678,5076076.20642639,13.012312898159756,11.161134453253934,45.81780801144823
668088.94792678,5076076.20642639,2.9914661937872498,11.163707080206576,45.817759301905944
668288.94792678,5076076.20642639,2.9914661937871703,11.16627970054357,45.817710534481456
665488.94792678,5076276.20642639,14.8067960496314,11.130331048137691,45.82018689100027
665688.94792678,5076276.20642639,27.400808135442176,11.132903836599644,45.82013887307878
665888.94792678,5076276.20642639,35.13522572635709,11.13547661853922,45.82009079726682
666088.94792678,5076276.20642639,32.67090400516897,11.138049393948585,45.82004266356479
666288.94792678,5076276.20642639,32.633715770615936,11.140622162819897,45.81999447197306
666488.94792678,5076276.20642639,17.467330907484364,11.143194925145318,45.81994622249203
666688.94792678,5076276.20642639,22.240233210915274,11.145767680917011,45.81989791512206
666888.94792678,5076276.20642639,16.515132669947032,11.14834043012714,45.819849549863555
667088.94792678,5076276.20642639,16.734062432321878,11.150913172767865,45.819801126716904
667288.94792678,5076276.20642639,19.07962835972372,11.153485908831351,45.81975264568247
667488.94792678,5076276.20642639,19.079628359723674,11.15605863830976,45.819704106760675
667688.94792678,5076276.20642639,16.415912971038775,11.158631361195255,45.81965550995187
667888.94792678,5076276.20642639,11.736837956236876,11.161204077479999,45.81960685525647
668088.94792678,5076276.20642639,2.9914661937871765,11.163776787156154,45.81955814267484
668288.94792678,5076276.20642639,2.9914661937870957,11.166349490215884,45.8195093722074
668488.94792678,5076276.20642639,2.9914661937871694,11.168922186651354,45.819460543854504
665288.94792678,5076476.20642639,4.505609953741168,11.127826808418208,45.82203373337381
665488.94792678,5076476.20642639,4.824715866867135,11.130399686136037,45.8219857703505
665688.94792678,5076476.20642639,10.328102705189176,11.132972557338569,45.821937749432756
665888.94792678,5076476.20642639,16.14068689681711,11.135545422017959,45.82188967062093
666088.94792678,5076476.20642639,26.777268638583426,11.13811828016637,45.82184153391543
666288.94792678,5076476.20642639,15.656776213199416,11.140691131775966,45.821793339316606
666488.94792678,5076476.20642639,14.740494762227028,11.143263976838902,45.82174508682488
666688.94792678,5076476.20642639,23.803808099492077,11.145836815347344,45.82169677644063
666888.94792678,5076476.20642639,17.65475822729956,11.148409647293455,45.82164840816422
667088.94792678,5076476.20642639,18.282893324509853,11.15098247266939,45.82159998199605
667288.94792678,5076476.20642639,19.079628359723728,11.153555291467317,45.82155149793652
667488.94792678,5076476.20642639,19.079628359723667,11.156128103679395,45.821502955985984
667688.94792678,5076476.20642639,19.077177536660976,11.158700909297787,45.82145435614486
667888.94792678,5076476.20642639,14.87196173095425,11.161273708314653,45.82140569841352
668088.94792678,5076476.20642639,2.9914661937871694,11.163846500722157,45.82135698279236
668288.94792678,5076476.20642639,2.991466193787247,11.166419286512461,45.82130820928176
668488.94792678,5076476.20642639,2.9914661937871743,11.16899206567773,45.821259377882114
668688.94792678,5076476.20642639,2.9914661937871734,11.171564838210122,45.82121048859381
665288.94792678,5076676.20642639,14.351767332338476,11.127895370182673,45.82383261506799
665488.94792678,5076676.20642639,3.3844484699706414,11.130468330649684,45.82378464905186
